논문 제목, 링크
노인의 사회참여활동이 생활만족에 미치는 영향, http://www.riss.kr/link?id=A107356959
인공지능을 활용한 예술융합교육이 초등학생 창의성에 미치는 효과, http://www.riss.kr/link?id=A108012413
[토론문 1] 저출산·고령화와 인구정책, http://www.riss.kr/link?id=A104892222
초등학생 인공지능윤리교육을 위한 STEAM 프로그램 개발, http://www.riss.kr/link?id=A107366671
인공지능 리터러시 기반의 설명가능한 인공지능 교육 프로그램의 효과, http://www.riss.kr/link?id=A108164169
MZ 세대 번아웃에 미치는 디지털시 치유 효과에 관한 연구, http://www.riss.kr/link?id=A108261795
바이오 기술을 통한 의약품 산업의 혁신, http://www.riss.kr/link?id=A106070464
비대면 온라인 수업 만족도 및 인식 변화 연구 - C교육대학교 사례를 중심으로 -, http://www.riss.kr/link?id=A107284165
사회복지공동모금회 20년, 사회적 영향력 및 성과분석, http://www.riss.kr/link?id=A105978137
마이클 샌델 『공정하다는 착각』과 능력주의 그리고 불평등 문제, http://www.riss.kr/link?id=A107938974
디지털 미디어를 활용한 미술치료에서의 윤리적 이슈에 대한 고찰, http://www.riss.kr/link?id=A105301222
울혈성 심부전증, http://www.riss.kr/link?id=A101462972
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
A Computer-Aided Text Analysis to Explore Recruitment and Intellectual Polarization Strategies in ISIS Media, http://www.riss.kr/link?id=A108241709
대상관계이론의 고찰과 상담적 적용, http://www.riss.kr/link?id=A60264863
박물관 교육은 무엇을 추구하는가, http://www.riss.kr/link?id=A107195577
수술실 간호사의 팀워크와 직무소진이 환자안전관리활동에 미치는 영향, http://www.riss.kr/link?id=A108418411
메타버스를 경험한 교육 분야 종사자들의 인식 및 교육 분야에서의 활용 방안 탐색, http://www.riss.kr/link?id=A108040289
홍보의 개념 및 목적 등에 대한 사회복지 실무자의 인식, http://www.riss.kr/link?id=A101866771
역사적 사건을 기념하는 현대 메모리얼 공간 구성요소 분석, http://www.riss.kr/link?id=A107140644
병원간호사의 긍정심리자본, 잡 크래프팅, 직무만족이 재직의도에 미치는 영향, http://www.riss.kr/link?id=A108418409
경력단절여성의 진로장벽이 진로준비행동에 미치는 영향과 사회적 지지의 매개효과, http://www.riss.kr/link?id=A108448254
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
가족돌봄청년(영 케어러:Young Carer)의 일상생활에 관한 질적 사례연구, http://www.riss.kr/link?id=A108418857
인공지능교육 관련 연구 동향 분석 : 키워드 네트워크 분석, http://www.riss.kr/link?id=A107319066
디지털 휴먼 이미지 활용에 관한 연구, http://www.riss.kr/link?id=A108269285
페미니즘 리부트 이후 한국 웹툰에 나타난 청년 여성의 외모 담론, http://www.riss.kr/link?id=A106614558
분리불안 아동의 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A106902541
배달의민족 B마트 퀵커머스 이용 만족에 관한 연구: 코로나19에 대한 두려움과 지각된 위험의 영향을 중심으로, http://www.riss.kr/link?id=A108418511
ESG 평가체계 현황 분석 연구 : 환경영역(E)을 중심으로, http://www.riss.kr/link?id=A108063446
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
신포괄수가제도 도입의 필요성과 의의, http://www.riss.kr/link?id=A108356557
MZ 세대의 개인주의 문화, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A108447810
Science Technology - 농업도 첨단시대! 도시형 '스마트 팜' 눈앞에 성큼, http://www.riss.kr/link?id=A105607912
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
배분의제 2-3차년도 성과평가(질병) - 지역사회 주도형 노인 건강돌봄 지원사업 -, http://www.riss.kr/link?id=A106393758
[뉴스되새김] 청년 고독사 - 외로이 죽어가는 청년들, http://www.riss.kr/link?id=A107764211
국내 치유농장의 운영 프로그램 분석1) - 치유농업 육성 시범사업 참여 농가를 중심으로 -, http://www.riss.kr/link?id=A107875774
소선지서에 나타난 여호와의 인자하심에 대한 설명 패턴의 발전 양상, http://www.riss.kr/link?id=A106632165
분석심리학으로 본 외도와 이혼, http://www.riss.kr/link?id=A106986842
디지털 리터러시 역량 자가진단 평가도구 문헌 고찰, http://www.riss.kr/link?id=A108450922
대인관계 증진집단상담 프로그램이 자기지각과 대인관계에 미치는 효과검증, http://www.riss.kr/link?id=A75029457
러시아-우크라이나 전쟁과 국제질서의 변화, http://www.riss.kr/link?id=A108208029
친환경 위장제품(그린워싱)의 현황과 과제, http://www.riss.kr/link?id=A102397417
장애인 표준사업장에 관한 연구, http://www.riss.kr/link?id=A75142580
다이어트, 당신은 건강합니까?, http://www.riss.kr/link?id=A76262114
제1회 EDI 국제총회 참관기, http://www.riss.kr/link?id=A101144361
민화의 원래 의미와 현대적 의미, http://www.riss.kr/link?id=A106340449
청소년 정서조절능력 향상 집단상담 프로그램의 효과검증 연구: G도 사례를 중심으로, http://www.riss.kr/link?id=A108416554
지역 중소 병원 간호사의 직무스트레스와 이직의도의 관계에서 직무배태성의 매개효과, http://www.riss.kr/link?id=A108418414
아즈텍제국의 인신공양, http://www.riss.kr/link?id=A104223401
연속적 표현치료에 근거한 집단 미술치료 (Expressive Therapies Continuum: ETC)에 대한 이론적 고찰, http://www.riss.kr/link?id=A101859091
박물관 교육의 사회적 위기 대응 성과와 성찰적 과제, http://www.riss.kr/link?id=A107985268
상실을 경험한 우울 청소년의 발달적 애도를 위한 미술심리치료 사례연구, http://www.riss.kr/link?id=A108050172
임상간호사의 간호근무환경 측정도구 개발 및 평가, http://www.riss.kr/link?id=A108418412
인공지능 윤리의식 검사 도구 개발 연구, http://www.riss.kr/link?id=A107366670
교정적 관계 경험 사례연구: 우울하고 적대-순종 유형인 내담자의 상담자에 대한 경험과 대인관계 변화에 대한 인식, http://www.riss.kr/link?id=A108416550
