논문 제목, 링크
간호관리자의 변혁적 리더십과 서번트 리더십이 신규간호사의 조직사회화에 미치는 영향: 집단효능감의 매개 효과, http://www.riss.kr/link?id=A108418416
2022 개정 교육과정 분석을 통한 초등학교 인공지능윤리 교육 프로그램 개발, http://www.riss.kr/link?id=A108421137
인공지능 윤리의식 검사 도구 개발 연구, http://www.riss.kr/link?id=A107366670
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
신노년세대를 위한 노인복지주택에 관한 연구, http://www.riss.kr/link?id=A106620521
2022 개정 국어과 교육과정의 특징적 변화, http://www.riss.kr/link?id=A108549984
MZ세대의 MBTI에 따른 여가활동 선택과 여가태도, http://www.riss.kr/link?id=A108417008
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
글로벌 경쟁 우위 위한 전환 필요, http://www.riss.kr/link?id=A101438967
흡연의 위험성에 대해 알려줄 의사의 책임, http://www.riss.kr/link?id=A101388870
미술치료프로그램이 성인 발달장애인의 자기표현, 사회성 기술 및 삶의 질에 미치는 효과, http://www.riss.kr/link?id=A108040681
인지발달에 대한 삐아제 이론과 비고츠키 이론의 비교, http://www.riss.kr/link?id=A101876695
생성 인공지능에 의한 ‘창의성의 자동화’가 예술에 미치는 영향에 대한 전망, http://www.riss.kr/link?id=A108585687
고교학점제 도입 추진 정책에 대한 비판적 검토, http://www.riss.kr/link?id=A105396133
마약류 중독예방사업의 활성화 방안, http://www.riss.kr/link?id=A108418255
통계학의 응용과 전망, http://www.riss.kr/link?id=A82609166
기후변화, 지구온난화가 인체 건강에 미치는 영향, http://www.riss.kr/link?id=A103224751
우리 사회의 능력주의는 제대로 작동하고 있는가?, http://www.riss.kr/link?id=A101887357
세대별 소비자행복: MZ세대를 중심으로, http://www.riss.kr/link?id=A108555556
청소년 문해력, http://www.riss.kr/link?id=A108005839
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
요부신전강화 운동프로그램이 단순추간판탈출증 수술환자의 요부근육 및 통증 그리고 사회복귀에 미치는 영향, http://www.riss.kr/link?id=A75174363
미래 시대 심리상담의 방향성 연구, http://www.riss.kr/link?id=A108552220
인공지능(AI)을 활용한 중등 음악창작 프로젝트 교수·학습 방안 연구, http://www.riss.kr/link?id=A108554220
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
초등학생 인공지능윤리교육을 위한 STEAM 프로그램 개발, http://www.riss.kr/link?id=A107366671
유아교사의 놀이성, 교수창의성, 놀이지원역량 및 놀이교수효능감 간의 구조적 관계 분석, http://www.riss.kr/link?id=A108551810
인공지능 교육 프로그램 개발 및 적용을 통한 인공지능 역량ㆍ태도ㆍ인식 변화 분석, http://www.riss.kr/link?id=A108421121
자동창작시대의 예술 작품 -인공지능은 예술 창작의 주체가 될 수 있는가?, http://www.riss.kr/link?id=A106981421
Y123 초전도체 및 Y124 초전도체에서 층과 사슬에 존재하는 구리 원자의 화학결합, http://www.riss.kr/link?id=A101029916
The Moderated Mediating Effect of Human Resources Development and Employment Type on the Relationship between Job Burnout and Adhocracy Culture of MZ Employees, http://www.riss.kr/link?id=A108652377
인공지능 리터러시 기반의 설명가능한 인공지능 교육 프로그램의 효과, http://www.riss.kr/link?id=A108164169
우울증의 병태생리에 관한 동서의학적 비교, http://www.riss.kr/link?id=A105386059
오가노이드의 연구와 이용을 위한 윤리적 과제: 오가노이드 연구의 대상, 기증 절차, 향후 이용을 중심으로, http://www.riss.kr/link?id=A108550829
일본신화에 나타난 이계(異界) 분석, http://www.riss.kr/link?id=A101844022
2022 개정 국어과 교육과정 ‘문법’ 영역 개발의 논리와 교육적 대응, http://www.riss.kr/link?id=A108554241
미세플라스틱의 건강 피해 저감 연구, http://www.riss.kr/link?id=A106871388
2022 개정 음악과 교육과정에서의 역량 평가에 대한 이해 - 2015 개정 음악과 교육과정과의 비교분석을 통하여, http://www.riss.kr/link?id=A108554218
초·중기 청소년의 디지털 미디어 문해력 관점에서 본 국어과 교육과정 매체 영역 분석, http://www.riss.kr/link?id=A108554237
헤어질 결심, http://www.riss.kr/link?id=A108202406
마을교육공동체 활성화 요인 관련 국내 연구 동향 분석, http://www.riss.kr/link?id=A108404159
고양이 구내염, http://www.riss.kr/link?id=A101133357
사회복지공동모금회 20년, 사회적 영향력 및 성과분석, http://www.riss.kr/link?id=A105978137
망가진 머리: 인공지능과 윤리 And I believed I was loved, I believed I loved Who did this to us?, http://www.riss.kr/link?id=A106419000
학교 내 직종 간 업무분장 표준화와 제도적 기구 설치 방안, http://www.riss.kr/link?id=A108534079
구글 알파폴드, 인공지능이 과학기술의 패러다임을 바꾼다, http://www.riss.kr/link?id=A107909377
존엄사의 헌법적 보장-죽음에 대한 자기결정권의 구성요건 설정을 중심으로-, http://www.riss.kr/link?id=A108417382
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
중국인의 나머지 정리를 기반으로 한 암호문에서 키워드 검색이 가능한 암호 알고리즘의 개발 및 구현, http://www.riss.kr/link?id=A107138981
자율주행자동차 사고에 관한 책임법제 연구, http://www.riss.kr/link?id=A106070462
2022 개정 국어과 교육과정 쓰기 영역의 특징과 지향, http://www.riss.kr/link?id=A108554240
완벽주의 차원과 자기효능감이 우울에 미치는 영향, http://www.riss.kr/link?id=A82690219
수학 관련 인공지능 교과서에 포함된 과제의 활동 요소 비교 분석, http://www.riss.kr/link?id=A108421123
2022 개정 국어과 교육과정 ‘읽기’ 영역 개발의 중점과 방향, http://www.riss.kr/link?id=A108554239
예비유아교사가 경험하는 학교현장실습의 의미, http://www.riss.kr/link?id=A108491548
완벽주의적 자기제시가 대인관계문제에 미치는 영향: 부정적 자기초점 주의의 매개효과, http://www.riss.kr/link?id=A108554098
인공지능 관련 규범 수립의 국내외 현황과 과제, http://www.riss.kr/link?id=A108551487
