논문 제목, 링크
마이클 샌델 『공정하다는 착각』과 능력주의 그리고 불평등 문제, http://www.riss.kr/link?id=A107938974
노인의 사회참여활동이 생활만족에 미치는 영향, http://www.riss.kr/link?id=A107356959
대상관계이론의 고찰과 상담적 적용, http://www.riss.kr/link?id=A60264863
친환경 위장제품(그린워싱)의 현황과 과제, http://www.riss.kr/link?id=A102397417
‘이야기 들어주기(Story-listening)’ 프로그램 개발 및 운영 방안, http://www.riss.kr/link?id=A108004328
세계 주요국의 유보통합 동향 및 시사점 분석, http://www.riss.kr/link?id=A107558011
MZ세대의 모바일 AR 가상 피팅 서비스에 대한 경험적 가치가 감정반응, 브랜드 이미지 및 행동의도에 미치는 영향, http://www.riss.kr/link?id=A108418506
러시아-우크라이나 전쟁과 국제질서의 변화, http://www.riss.kr/link?id=A108208029
또래 거부를 경험한 아동을 위한 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A107403135
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
2022 개정 교육과정 분석을 통한 초등학교 인공지능윤리 교육 프로그램 개발, http://www.riss.kr/link?id=A108421137
분리불안 아동의 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A106902541
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
새싹 귀리분말을 이용한 양갱제조 및 품질 특성, http://www.riss.kr/link?id=A108420716
박물관 교육은 무엇을 추구하는가, http://www.riss.kr/link?id=A107195577
비대면 온라인 수업 만족도 및 인식 변화 연구 - C교육대학교 사례를 중심으로 -, http://www.riss.kr/link?id=A107284165
사회복지공동모금회 20년, 사회적 영향력 및 성과분석, http://www.riss.kr/link?id=A105978137
[뉴스되새김] 청년 고독사 - 외로이 죽어가는 청년들, http://www.riss.kr/link?id=A107764211
메타버스를 경험한 교육 분야 종사자들의 인식 및 교육 분야에서의 활용 방안 탐색, http://www.riss.kr/link?id=A108040289
바이오 기술을 통한 의약품 산업의 혁신, http://www.riss.kr/link?id=A106070464
MZ 세대 번아웃에 미치는 디지털시 치유 효과에 관한 연구, http://www.riss.kr/link?id=A108261795
민화의 원래 의미와 현대적 의미, http://www.riss.kr/link?id=A106340449
디지털 휴먼 이미지 활용에 관한 연구, http://www.riss.kr/link?id=A108269285
인공지능교육 관련 연구 동향 분석 : 키워드 네트워크 분석, http://www.riss.kr/link?id=A107319066
청소년 문해력, http://www.riss.kr/link?id=A108005839
NFT 아트와 미술시장 유통의 변화에 대한 전망, http://www.riss.kr/link?id=A108213989
배분의제 2-3차년도 성과평가(질병) - 지역사회 주도형 노인 건강돌봄 지원사업 -, http://www.riss.kr/link?id=A106393758
대인관계 증진집단상담 프로그램이 자기지각과 대인관계에 미치는 효과검증, http://www.riss.kr/link?id=A75029457
인공지능 윤리 가치 요소 중심의 통합적 인공지능 교육 프로그램 개발, http://www.riss.kr/link?id=A108421139
페미니즘 리부트 이후 한국 웹툰에 나타난 청년 여성의 외모 담론, http://www.riss.kr/link?id=A106614558
남자간호사가 인지한 역할갈등, 수간호사 수퍼리더십, 간호조직문화가 조직몰입에 미치는 영향, http://www.riss.kr/link?id=A108418389
장애인 표준사업장에 관한 연구, http://www.riss.kr/link?id=A75142580
국내 치유농장의 운영 프로그램 분석1) - 치유농업 육성 시범사업 참여 농가를 중심으로 -, http://www.riss.kr/link?id=A107875774
간호사의 코로나바이러스감염증-19환자 간호 의도에 영향을 미치는 요인, http://www.riss.kr/link?id=A107834534
산-염기 중화반응 실험의 문제점 분석 및 개선 방안, http://www.riss.kr/link?id=A101030281
분석심리학으로 본 외도와 이혼, http://www.riss.kr/link?id=A106986842
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
상실을 경험한 우울 청소년의 발달적 애도를 위한 미술심리치료 사례연구, http://www.riss.kr/link?id=A108050172
배달의민족 B마트 퀵커머스 이용 만족에 관한 연구: 코로나19에 대한 두려움과 지각된 위험의 영향을 중심으로, http://www.riss.kr/link?id=A108418511
기독교세계관 교육프로그램의 만족도가 기독교세계관 형성 및 실천의도에 미치는 영향, http://www.riss.kr/link?id=A107315634
평생교육 교수자의 성인 발달장애인 교수경험 의미탐색, http://www.riss.kr/link?id=A108448261
기업의 CSR 활동과 ESG 지표가 경영성과에 미치는 영향 연구, http://www.riss.kr/link?id=A108172518
육아휴직제도의 현황 및 문제점, http://www.riss.kr/link?id=A105970794
우울증에 관한 이론과 연구의 개관, http://www.riss.kr/link?id=A75014026
인공지능기반 기계번역기와 영어교육에 대한 문헌 고찰, http://www.riss.kr/link?id=A108148944
초등학교 국어과 교육과정과 초등 문해교육 교육과정 비교 연구 - 초등과정 성인문해 교육의 대전환 -, http://www.riss.kr/link?id=A107848738
2020 고립청년 발굴 및 지원을 위한 미취업 청년 고립실태 분석 연구 - 서울특별시 청년수당 참여자를 중심으로, http://www.riss.kr/link?id=A107779404
청소년 정서조절능력 향상 집단상담 프로그램의 효과검증 연구: G도 사례를 중심으로, http://www.riss.kr/link?id=A108416554
경력단절여성의 진로장벽이 진로준비행동에 미치는 영향과 사회적 지지의 매개효과, http://www.riss.kr/link?id=A108448254
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
청년 공공임대주택의 문제점과 개선방안에 대한 연구, http://www.riss.kr/link?id=A106620524
학령인구감소에 따른 학교 및 학급수 정책, http://www.riss.kr/link?id=A105922995
가족돌봄청년(영 케어러:Young Carer)의 일상생활에 관한 질적 사례연구, http://www.riss.kr/link?id=A108418857
빈곤아동이 지각한 가정의 심리적 환경과 부적응 행동과의 관계, http://www.riss.kr/link?id=A1988076
아쿠아파바 첨가에 따른 머랭 쿠키의 품질 특성, http://www.riss.kr/link?id=A108420715
