논문 제목, 링크
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
애착유형, 스트레스 대처방식과 대인불안의 관계, http://www.riss.kr/link?id=A82690250
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
「 위대한 사회 」 의 창도자 「 린든 . B . 존슨 」 - 존슨대통령의 프로필, http://www.riss.kr/link?id=A75717568
최근 5년간 한국 의학드라마에 나타난 간호사 이미지와 역할 수행에 대한 연구, http://www.riss.kr/link?id=A99823879
인공지능 교육 프로그램 개발 및 적용을 통한 인공지능 역량ㆍ태도ㆍ인식 변화 분석, http://www.riss.kr/link?id=A108421121
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
저출산 정책, http://www.riss.kr/link?id=A102750411
MZ세대의 MBTI에 따른 여가활동 선택과 여가태도, http://www.riss.kr/link?id=A108417008
예비 초등 교사들의 역사 인물 프로젝트-이순신을 중심으로-, http://www.riss.kr/link?id=A108004327
인공지능 윤리의식 검사 도구 개발 연구, http://www.riss.kr/link?id=A107366670
<바람계곡의 나우시카>에 나타난 캐릭터 성격구조의 이해, http://www.riss.kr/link?id=A103514563
전문간호사제도의 과제와 발전방향 - 법제화 근거마련 및 간호법 제정 필요, http://www.riss.kr/link?id=A101425604
배양육이 축산을 대체할 수 있을까?, http://www.riss.kr/link?id=A106915515
디지털 정보활용능력이 노인의 삶의 만족도에 미치는 영향에 관한 연구, http://www.riss.kr/link?id=A108417224
우리숲이야기-지구온난화를 막는 유일한 희망, http://www.riss.kr/link?id=A101553394
유효숫자의 개념, http://www.riss.kr/link?id=A101429528
여대생의 다이어트 행동과 심리적 변인들과의 관계, http://www.riss.kr/link?id=A82690210
예비유아교사가 경험하는 학교현장실습의 의미, http://www.riss.kr/link?id=A108491548
산-염기 중화반응 실험의 문제점 분석 및 개선 방안, http://www.riss.kr/link?id=A101030281
MZ 세대 번아웃에 미치는 디지털시 치유 효과에 관한 연구, http://www.riss.kr/link?id=A108261795
우리 사회의 능력주의는 제대로 작동하고 있는가?, http://www.riss.kr/link?id=A101887357
간호대학생의 MBTI 성격유형별 의사소통능력, 자아존중감, 학업성취도의 관계, http://www.riss.kr/link?id=A107967262
달걀 낙하 실험의 이론적 분석, http://www.riss.kr/link?id=A82714056
대상관계이론의 고찰과 상담적 적용, http://www.riss.kr/link?id=A60264863
비대면 온라인 수업 만족도 및 인식 변화 연구 - C교육대학교 사례를 중심으로 -, http://www.riss.kr/link?id=A107284165
대인관계 증진집단상담 프로그램이 자기지각과 대인관계에 미치는 효과검증, http://www.riss.kr/link?id=A75029457
MZ세대의 모바일 AR 가상 피팅 서비스에 대한 경험적 가치가 감정반응, 브랜드 이미지 및 행동의도에 미치는 영향, http://www.riss.kr/link?id=A108418506
인공지능 기반의 언어 생성 모델 분석, http://www.riss.kr/link?id=A107295802
한국인의 성향에 따른 아이돌 팬덤 향유 방식 연구, http://www.riss.kr/link?id=A107800341
또래 거부를 경험한 아동을 위한 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A107403135
4차 산업혁명의 담론과 인공지능 기술에 대한 철학적 분석과 비판, http://www.riss.kr/link?id=A107473205
미세플라스틱의 건강 피해 저감 연구, http://www.riss.kr/link?id=A106871388
발열과 호흡기 증상을 호소하는 아동 대상자 간호: COVID-19 팬데믹 상황에서, http://www.riss.kr/link?id=A108354644
[CLICK] 음식점,카페 "노키즈존" 확산, http://www.riss.kr/link?id=A101942791
21세기 리더십과 임파워먼트에 관한 연구, http://www.riss.kr/link?id=A82421610
[D. 멘델레예프의 주기율표 발표 150주년] 원소주기율표 150년 : 자연에 깊이 숨겨진 원소의 주기성, http://www.riss.kr/link?id=A106249510
간호대학생의 지각된 스트레스, 자아존중감, 전공만족도가 주관적 행복감에 미치는 영향, http://www.riss.kr/link?id=A108206324
간호사는 왜 병원을 떠나는가?, http://www.riss.kr/link?id=A105344776
스마트시티와 도시전환_공공 공간으로서의 스마트시티, http://www.riss.kr/link?id=A108079381
간호윤리교육의 미래, 윤리적 간호사를 전망해 본다., http://www.riss.kr/link?id=A107249580
화장품 안전성에 대한 인식 및 사용실태 연구, http://www.riss.kr/link?id=A108416865
인공지능교육 관련 연구 동향 분석 : 키워드 네트워크 분석, http://www.riss.kr/link?id=A107319066
장애인 표준사업장에 관한 연구, http://www.riss.kr/link?id=A75142580
초등학생 인공지능윤리교육을 위한 STEAM 프로그램 개발, http://www.riss.kr/link?id=A107366671
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
미국의 청소년 마약류 사용 대응 정책 고찰을 통한 국내 정책의 시사점, http://www.riss.kr/link?id=A108418256
제로웨이스트가 대체 뭐야, http://www.riss.kr/link?id=A107219613
수강 방법 및 리포트 작성에 대하여, http://www.riss.kr/link?id=A3133365
예비 교원을 위한 디지털 역량 교육의 방향성 연구, http://www.riss.kr/link?id=A107410880
임상간호사의 간호근무환경 측정도구 개발 및 평가, http://www.riss.kr/link?id=A108418412
