논문 제목, 링크
마약류 중독예방사업의 활성화 방안, http://www.riss.kr/link?id=A108418255
세대별 소비자행복: MZ세대를 중심으로, http://www.riss.kr/link?id=A108555556
인공지능을 활용한 예술융합교육이 초등학생 창의성에 미치는 효과, http://www.riss.kr/link?id=A108012413
[ISSUE] 주4일제, 무조건 찬성 vs 시기상조, http://www.riss.kr/link?id=A108013644
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
다문화국어교육을 지원하는 교수내용지식, http://www.riss.kr/link?id=A82694439
대상관계이론의 고찰과 상담적 적용, http://www.riss.kr/link?id=A60264863
자율주행자동차 사고에 관한 책임법제 연구, http://www.riss.kr/link?id=A106070462
성별에 따른 인슐린 저항성과 대사증후군과의 관련성, http://www.riss.kr/link?id=A108004351
유아교사의 놀이성, 교수창의성, 놀이지원역량 및 놀이교수효능감 간의 구조적 관계 분석, http://www.riss.kr/link?id=A108551810
스마트시티와 도시전환_공공 공간으로서의 스마트시티, http://www.riss.kr/link?id=A108079381
인공지능 교육 프로그램 개발 및 적용을 통한 인공지능 역량ㆍ태도ㆍ인식 변화 분석, http://www.riss.kr/link?id=A108421121
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
문화콘텐츠의 입장에서 바라본 ‘정치적 올바름’, http://www.riss.kr/link?id=A107773985
신노년세대를 위한 노인복지주택에 관한 연구, http://www.riss.kr/link?id=A106620521
생성 인공지능에 의한 ‘창의성의 자동화’가 예술에 미치는 영향에 대한 전망, http://www.riss.kr/link?id=A108585687
미세플라스틱의 건강 피해 저감 연구, http://www.riss.kr/link?id=A106871388
인공지능을 활용한 AI 예술 창작도구 사례 연구, http://www.riss.kr/link?id=A108214032
4차 산업혁명의 담론과 인공지능 기술에 대한 철학적 분석과 비판, http://www.riss.kr/link?id=A107473205
인공지능 리터러시 기반의 설명가능한 인공지능 교육 프로그램의 효과, http://www.riss.kr/link?id=A108164169
청소년 문해력, http://www.riss.kr/link?id=A108005839
망가진 머리: 인공지능과 윤리 And I believed I was loved, I believed I loved Who did this to us?, http://www.riss.kr/link?id=A106419000
간호법 제정은 간호사의 일터를 안전하고 건강하게 바꿀 수 있을까?, http://www.riss.kr/link?id=A108542511
구글 시대 저무나? 인공지능 ‘챗GPT’ 돌풍, http://www.riss.kr/link?id=A108508332
비대면 온라인 수업 만족도 및 인식 변화 연구 - C교육대학교 사례를 중심으로 -, http://www.riss.kr/link?id=A107284165
인공지능교육에 대한 초등교사의 인식 조사, http://www.riss.kr/link?id=A107366672
화장품 안전성에 대한 인식 및 사용실태 연구, http://www.riss.kr/link?id=A108416865
식민지 근대화론이 왜 문제인가?, http://www.riss.kr/link?id=A102956450
러시아-우크라이나 전쟁과 국제질서의 변화, http://www.riss.kr/link?id=A108208029
가계도를 활용한 역기능 가족에 대한 가족치료 사례연구, http://www.riss.kr/link?id=A75029458
여대생의 다이어트 행동과 심리적 변인들과의 관계, http://www.riss.kr/link?id=A82690210
전문간호사제도의 과제와 발전방향 - 법제화 근거마련 및 간호법 제정 필요, http://www.riss.kr/link?id=A101425604
장애인 시민권 열차는 멈춘 적이 없다 : 전장연 지하철 행동의 의미, http://www.riss.kr/link?id=A108525500
후쿠시마 오염수 방류 철회를 위한 우리의 실천이 필요하다, http://www.riss.kr/link?id=A107647388
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
초·중기 청소년의 디지털 미디어 문해력 관점에서 본 국어과 교육과정 매체 영역 분석, http://www.riss.kr/link?id=A108554237
수학적 모델을 이용한 순열과 조합 단원의 실생활 문제해결에 관한 연구, http://www.riss.kr/link?id=A106600084
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
친환경 위장제품(그린워싱)의 현황과 과제, http://www.riss.kr/link?id=A102397417
장애인 표준사업장에 관한 연구, http://www.riss.kr/link?id=A75142580
인공지능(AI : Artificial Intelligence)시대, 보건의료 미래 전망, http://www.riss.kr/link?id=A103148508
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
인공지능과 메타버스의 교육적 활용과 이슈, http://www.riss.kr/link?id=A107925054
분리불안 아동의 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A106902541
범죄형 사이코패스와 성공한 사이코패스, http://www.riss.kr/link?id=A107213799
MZ세대의 모바일 AR 가상 피팅 서비스에 대한 경험적 가치가 감정반응, 브랜드 이미지 및 행동의도에 미치는 영향, http://www.riss.kr/link?id=A108418506
마이클 샌델 『공정하다는 착각』과 능력주의 그리고 불평등 문제, http://www.riss.kr/link?id=A107938974
간호사는 왜 병원을 떠나는가?, http://www.riss.kr/link?id=A105344776
인공지능(AI)을 활용한 중등 음악창작 프로젝트 교수·학습 방안 연구, http://www.riss.kr/link?id=A108554220
[WORK] 월화수목, 휴휴휴... 코로나19와 주4일제, http://www.riss.kr/link?id=A107472677
오가노이드의 연구와 이용을 위한 윤리적 과제: 오가노이드 연구의 대상, 기증 절차, 향후 이용을 중심으로, http://www.riss.kr/link?id=A108550829
국내기업의 ESG 경영동기와 경영전략 및 해외사례연구, http://www.riss.kr/link?id=A108539865
