논문 제목, 링크
역사적 사건을 기념하는 현대 메모리얼 공간 구성요소 분석, http://www.riss.kr/link?id=A107140644
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
장애인 표준사업장에 관한 연구, http://www.riss.kr/link?id=A75142580
디지털 미디어를 활용한 미술치료에서의 윤리적 이슈에 대한 고찰, http://www.riss.kr/link?id=A105301222
가족돌봄청년(영 케어러:Young Carer)의 일상생활에 관한 질적 사례연구, http://www.riss.kr/link?id=A108418857
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
수강 방법 및 리포트 작성에 대하여, http://www.riss.kr/link?id=A3133365
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
경력단절여성의 진로장벽이 진로준비행동에 미치는 영향과 사회적 지지의 매개효과, http://www.riss.kr/link?id=A108448254
울혈성 심부전증, http://www.riss.kr/link?id=A101462972
한국인의 성향에 따른 아이돌 팬덤 향유 방식 연구, http://www.riss.kr/link?id=A107800341
병원간호사의 긍정심리자본, 잡 크래프팅, 직무만족이 재직의도에 미치는 영향, http://www.riss.kr/link?id=A108418409
A Computer-Aided Text Analysis to Explore Recruitment and Intellectual Polarization Strategies in ISIS Media, http://www.riss.kr/link?id=A108241709
임상간호사의 간호근무환경 측정도구 개발 및 평가, http://www.riss.kr/link?id=A108418412
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
노인의 사회참여활동이 생활만족에 미치는 영향, http://www.riss.kr/link?id=A107356959
창의 융합형 인재양성을 위한 초등학교 프로젝트 학습법 적용, http://www.riss.kr/link?id=A108021458
유효숫자의 개념, http://www.riss.kr/link?id=A101429528
페미니즘 리부트 이후 한국 웹툰에 나타난 청년 여성의 외모 담론, http://www.riss.kr/link?id=A106614558
[D. 멘델레예프의 주기율표 발표 150주년] 원소주기율표 150년 : 자연에 깊이 숨겨진 원소의 주기성, http://www.riss.kr/link?id=A106249510
Science Technology - 농업도 첨단시대! 도시형 '스마트 팜' 눈앞에 성큼, http://www.riss.kr/link?id=A105607912
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
다이어트, 당신은 건강합니까?, http://www.riss.kr/link?id=A76262114
인공지능교육에 대한 초등교사의 인식 조사, http://www.riss.kr/link?id=A107366672
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
인공지능 교육 프로그램 개발 및 적용을 통한 인공지능 역량ㆍ태도ㆍ인식 변화 분석, http://www.riss.kr/link?id=A108421121
아즈텍제국의 인신공양, http://www.riss.kr/link?id=A104223401
비대면 온라인 수업 만족도 및 인식 변화 연구 - C교육대학교 사례를 중심으로 -, http://www.riss.kr/link?id=A107284165
발열과 호흡기 증상을 호소하는 아동 대상자 간호: COVID-19 팬데믹 상황에서, http://www.riss.kr/link?id=A108354644
호세아 4장-6장의 문학 비평적 연구, http://www.riss.kr/link?id=A82709330
스트레스 사건, 인지적 정서조절전략과 심리적 안녕감 간의 관계, http://www.riss.kr/link?id=A82690246
성별에 따른 인슐린 저항성과 대사증후군과의 관련성, http://www.riss.kr/link?id=A108004351
배달의민족 B마트 퀵커머스 이용 만족에 관한 연구: 코로나19에 대한 두려움과 지각된 위험의 영향을 중심으로, http://www.riss.kr/link?id=A108418511
지역 중소 병원 간호사의 직무스트레스와 이직의도의 관계에서 직무배태성의 매개효과, http://www.riss.kr/link?id=A108418414
2022 개정 교육과정, 고교학점제 도입에 따른 미용과 교사의 인식조사 및 직업계고 모형 운영방안, http://www.riss.kr/link?id=A108420453
최근 5년간 한국 의학드라마에 나타난 간호사 이미지와 역할 수행에 대한 연구, http://www.riss.kr/link?id=A99823879
마이클 샌델 『공정하다는 착각』과 능력주의 그리고 불평등 문제, http://www.riss.kr/link?id=A107938974
간호대학생의 팬데믹에 대한 윤리인식과 표준주의 건강신념이 표준주의 수행도에 미치는 영향, http://www.riss.kr/link?id=A108448648
미술치료프로그램이 성인 발달장애인의 자기표현, 사회성 기술 및 삶의 질에 미치는 효과, http://www.riss.kr/link?id=A108040681
디지털 리터러시 역량 자가진단 평가도구 문헌 고찰, http://www.riss.kr/link?id=A108450922
초등학생 인공지능윤리교육을 위한 STEAM 프로그램 개발, http://www.riss.kr/link?id=A107366671
신포괄수가제도 도입의 필요성과 의의, http://www.riss.kr/link?id=A108356557
글로벌 경쟁 우위 위한 전환 필요, http://www.riss.kr/link?id=A101438967
가족돌봄청년 (Young carer)의 경험에 대한 맥락-패턴 분석, http://www.riss.kr/link?id=A108450572
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
ESG 평가체계 현황 분석 연구 : 환경영역(E)을 중심으로, http://www.riss.kr/link?id=A108063446
사회복지공동모금회 20년, 사회적 영향력 및 성과분석, http://www.riss.kr/link?id=A105978137
임상수의사에게 필요한 진단방법 - 현미경 사용법 및 혈액검사 -, http://www.riss.kr/link?id=A101131861
러시아-우크라이나 전쟁과 국제질서의 변화, http://www.riss.kr/link?id=A108208029
병원 신규간호사의 조직사회화 구조모형, http://www.riss.kr/link?id=A108415596
간호대학생의 MBTI 성격유형별 의사소통능력, 자아존중감, 학업성취도의 관계, http://www.riss.kr/link?id=A107967262
한국 단독주택의 평면유형 변화에 관한 연구, http://www.riss.kr/link?id=A106967094
대학에 부는 ESG 열풍과 대학의 역할, http://www.riss.kr/link?id=A108418866
소선지서에 나타난 여호와의 인자하심에 대한 설명 패턴의 발전 양상, http://www.riss.kr/link?id=A106632165
AI 융합교육의 이해와 해결 과제에 대한 고찰, http://www.riss.kr/link?id=A108448634
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
인공지능교육 관련 연구 동향 분석 : 키워드 네트워크 분석, http://www.riss.kr/link?id=A107319066
