논문 제목, 링크
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
자연 상태에서 일어나는 음펨바 효과에 대한 연구, http://www.riss.kr/link?id=A106118568
저출산 정책, http://www.riss.kr/link?id=A102750411
산-염기 중화반응 실험의 문제점 분석 및 개선 방안, http://www.riss.kr/link?id=A101030281
Freud와 Erikson이론에 따른 성격형성에 관한 고찰, http://www.riss.kr/link?id=A45010287
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
인공지능 교육 프로그램 개발 및 적용을 통한 인공지능 역량ㆍ태도ㆍ인식 변화 분석, http://www.riss.kr/link?id=A108421121
예비 교원을 위한 디지털 역량 교육의 방향성 연구, http://www.riss.kr/link?id=A107410880
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
신노년세대를 위한 노인복지주택에 관한 연구, http://www.riss.kr/link?id=A106620521
21세기 리더십과 임파워먼트에 관한 연구, http://www.riss.kr/link?id=A82421610
인공지능 윤리의식 검사 도구 개발 연구, http://www.riss.kr/link?id=A107366670
인공지능을 활용한 AI 예술 창작도구 사례 연구, http://www.riss.kr/link?id=A108214032
디지털 정보활용능력이 노인의 삶의 만족도에 미치는 영향에 관한 연구, http://www.riss.kr/link?id=A108417224
또래 거부를 경험한 아동을 위한 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A107403135
세계 주요국의 유보통합 동향 및 시사점 분석, http://www.riss.kr/link?id=A107558011
또래 상담 활동이 따돌림 경험 학생들의 심리적인 변화에 주는 영향, http://www.riss.kr/link?id=A75142192
미국의 청소년 마약류 사용 대응 정책 고찰을 통한 국내 정책의 시사점, http://www.riss.kr/link?id=A108418256
천동설과 지동설을 통해 본 기독교와 과학의 갈등, http://www.riss.kr/link?id=A82710483
전문간호사제도의 과제와 발전방향 - 법제화 근거마련 및 간호법 제정 필요, http://www.riss.kr/link?id=A101425604
「 위대한 사회 」 의 창도자 「 린든 . B . 존슨 」 - 존슨대통령의 프로필, http://www.riss.kr/link?id=A75717568
인공지능 기반의 언어 생성 모델 분석, http://www.riss.kr/link?id=A107295802
장기이식과 의료윤리, http://www.riss.kr/link?id=A18743160
리더십 향상을 위한 의사소통 능력 교육 방안, http://www.riss.kr/link?id=A82421599
달걀 낙하 실험의 이론적 분석, http://www.riss.kr/link?id=A82714056
배양육이 축산을 대체할 수 있을까?, http://www.riss.kr/link?id=A106915515
코로나19 시대, K-POP 주요 성공 요인과 발전방안, http://www.riss.kr/link?id=A107190408
기업의 CSR 활동과 ESG 지표가 경영성과에 미치는 영향 연구, http://www.riss.kr/link?id=A108172518
친환경 위장제품(그린워싱)의 현황과 과제, http://www.riss.kr/link?id=A102397417
국회기후변화포럼, 미세먼지 관리 종합대책 논의, http://www.riss.kr/link?id=A105314925
분리불안 아동의 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A106902541
산업안전보건법과 중대재해처벌법 비교 – 처벌을 중심으로 –, http://www.riss.kr/link?id=A108417262
예술적 아름다움과 정보처리 비용의 효율성, 그리고 예술 창작에서의 인공지능의 성공 가능성, http://www.riss.kr/link?id=A107167013
초등학생 인공지능윤리교육을 위한 STEAM 프로그램 개발, http://www.riss.kr/link?id=A107366671
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
마약류 중독예방사업의 활성화 방안, http://www.riss.kr/link?id=A108418255
간호대학생의 MBTI 성격유형별 의사소통능력, 자아존중감, 학업성취도의 관계, http://www.riss.kr/link?id=A107967262
존엄사의 헌법적 보장-죽음에 대한 자기결정권의 구성요건 설정을 중심으로-, http://www.riss.kr/link?id=A108417382
MBTI 성격유형을 활용한 자기이해 집단프로그램이 자아 존중감 향상에 미치는 영향, http://www.riss.kr/link?id=A60081420
4차 산업혁명의 담론과 인공지능 기술에 대한 철학적 분석과 비판, http://www.riss.kr/link?id=A107473205
빈곤여성들의 문제와 해결방안, http://www.riss.kr/link?id=A82616757
윤동주 시의 독자성, http://www.riss.kr/link?id=A105107500
[CLICK] 음식점,카페 "노키즈존" 확산, http://www.riss.kr/link?id=A101942791
부산시 반송동 정책이주지 주택 변화 연구, http://www.riss.kr/link?id=A108109431
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
바이럴마케팅의 방향에 관한 연구와 진행 사례, http://www.riss.kr/link?id=A101669745
가계도를 활용한 역기능 가족에 대한 가족치료 사례연구, http://www.riss.kr/link?id=A75029458
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
동화 ｢라푼젤｣과 디즈니 영화 ≪라푼젤≫ 비교연구, http://www.riss.kr/link?id=A106923174
우리숲이야기-지구온난화를 막는 유일한 희망, http://www.riss.kr/link?id=A101553394
지역 중소 병원 간호사의 직무스트레스와 이직의도의 관계에서 직무배태성의 매개효과, http://www.riss.kr/link?id=A108418414
빈곤아동이 지각한 가정의 심리적 환경과 부적응 행동과의 관계, http://www.riss.kr/link?id=A1988076
