논문 제목, 링크
홍보의 개념 및 목적 등에 대한 사회복지 실무자의 인식, http://www.riss.kr/link?id=A101866771
마이클 샌델 『공정하다는 착각』과 능력주의 그리고 불평등 문제, http://www.riss.kr/link?id=A107938974
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
바이오 기술을 통한 의약품 산업의 혁신, http://www.riss.kr/link?id=A106070464
The Impact of Employees' Growth Mindset on Organizational Citizenship Behavior in Small and Medium-sized Enterprises (SMEs): Focusing on the Mediating Effect of Authentic Leadership, http://www.riss.kr/link?id=A108452231
MZ 세대 번아웃에 미치는 디지털시 치유 효과에 관한 연구, http://www.riss.kr/link?id=A108261795
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
병원간호사의 긍정심리자본, 잡 크래프팅, 직무만족이 재직의도에 미치는 영향, http://www.riss.kr/link?id=A108418409
인공지능교육 관련 연구 동향 분석 : 키워드 네트워크 분석, http://www.riss.kr/link?id=A107319066
ESG 평가체계 현황 분석 연구 : 환경영역(E)을 중심으로, http://www.riss.kr/link?id=A108063446
메타버스를 경험한 교육 분야 종사자들의 인식 및 교육 분야에서의 활용 방안 탐색, http://www.riss.kr/link?id=A108040289
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
신포괄수가제도 도입의 필요성과 의의, http://www.riss.kr/link?id=A108356557
수술실 간호사의 팀워크와 직무소진이 환자안전관리활동에 미치는 영향, http://www.riss.kr/link?id=A108418411
비대면 온라인 수업 만족도 및 인식 변화 연구 - C교육대학교 사례를 중심으로 -, http://www.riss.kr/link?id=A107284165
친환경 위장제품(그린워싱)의 현황과 과제, http://www.riss.kr/link?id=A102397417
경력단절여성의 진로장벽이 진로준비행동에 미치는 영향과 사회적 지지의 매개효과, http://www.riss.kr/link?id=A108448254
박물관 교육은 무엇을 추구하는가, http://www.riss.kr/link?id=A107195577
분리불안 아동의 인지행동놀이치료 사례연구, http://www.riss.kr/link?id=A106902541
배분의제 2-3차년도 성과평가(질병) - 지역사회 주도형 노인 건강돌봄 지원사업 -, http://www.riss.kr/link?id=A106393758
배달의민족 B마트 퀵커머스 이용 만족에 관한 연구: 코로나19에 대한 두려움과 지각된 위험의 영향을 중심으로, http://www.riss.kr/link?id=A108418511
러시아-우크라이나 전쟁과 국제질서의 변화, http://www.riss.kr/link?id=A108208029
분석심리학으로 본 외도와 이혼, http://www.riss.kr/link?id=A106986842
상실을 경험한 우울 청소년의 발달적 애도를 위한 미술심리치료 사례연구, http://www.riss.kr/link?id=A108050172
민화의 원래 의미와 현대적 의미, http://www.riss.kr/link?id=A106340449
청소년 정서조절능력 향상 집단상담 프로그램의 효과검증 연구: G도 사례를 중심으로, http://www.riss.kr/link?id=A108416554
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
2020 고립청년 발굴 및 지원을 위한 미취업 청년 고립실태 분석 연구 - 서울특별시 청년수당 참여자를 중심으로, http://www.riss.kr/link?id=A107779404
다이어트, 당신은 건강합니까?, http://www.riss.kr/link?id=A76262114
AI 융합교육의 이해와 해결 과제에 대한 고찰, http://www.riss.kr/link?id=A108448634
간호사의 코로나바이러스감염증-19환자 간호 의도에 영향을 미치는 요인, http://www.riss.kr/link?id=A107834534
대인관계 증진집단상담 프로그램이 자기지각과 대인관계에 미치는 효과검증, http://www.riss.kr/link?id=A75029457
가족돌봄청년(영 케어러:Young Carer)의 일상생활에 관한 질적 사례연구, http://www.riss.kr/link?id=A108418857
장애인 표준사업장에 관한 연구, http://www.riss.kr/link?id=A75142580
박물관 교육의 사회적 위기 대응 성과와 성찰적 과제, http://www.riss.kr/link?id=A107985268
대학에 부는 ESG 열풍과 대학의 역할, http://www.riss.kr/link?id=A108418866
글로벌 경쟁 우위 위한 전환 필요, http://www.riss.kr/link?id=A101438967
울혈성 심부전증, http://www.riss.kr/link?id=A101462972
페미니즘 리부트 이후 한국 웹툰에 나타난 청년 여성의 외모 담론, http://www.riss.kr/link?id=A106614558
평생교육 교수자의 성인 발달장애인 교수경험 의미탐색, http://www.riss.kr/link?id=A108448261
개미의 사회 생활, http://www.riss.kr/link?id=A2028848
한국 금융산업의 2030 비전과 과제 : 보험산업 - 코로나 위기 이후 금융의 디지털화를 중심으로 -, http://www.riss.kr/link?id=A107284834
대상관계이론의 고찰과 상담적 적용, http://www.riss.kr/link?id=A60264863
산-염기 중화반응 실험의 문제점 분석 및 개선 방안, http://www.riss.kr/link?id=A101030281
아쿠아파바 첨가에 따른 머랭 쿠키의 품질 특성, http://www.riss.kr/link?id=A108420715
인공지능 윤리 가치 요소 중심의 통합적 인공지능 교육 프로그램 개발, http://www.riss.kr/link?id=A108421139
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
인공지능 윤리의식 검사 도구 개발 연구, http://www.riss.kr/link?id=A107366670
기독교세계관 교육프로그램의 만족도가 기독교세계관 형성 및 실천의도에 미치는 영향, http://www.riss.kr/link?id=A107315634
데이터 이해 기반의 인공지능 교육 프로그램 개발, http://www.riss.kr/link?id=A108421120
2022 개정 영어 서책형 교과서의 개발 방향 제안, http://www.riss.kr/link?id=A108448260
세계 주요국의 유보통합 동향 및 시사점 분석, http://www.riss.kr/link?id=A107558011
지역 중소 병원 간호사의 직무스트레스와 이직의도의 관계에서 직무배태성의 매개효과, http://www.riss.kr/link?id=A108418414
교정적 관계 경험 사례연구: 우울하고 적대-순종 유형인 내담자의 상담자에 대한 경험과 대인관계 변화에 대한 인식, http://www.riss.kr/link?id=A108416550
기초학력 진단-보정 정책의 현황과 대안 : 국가주도 기초학력 보장의 방향 제안, http://www.riss.kr/link?id=A107939052
