논문 제목, 링크
간호법 제정은 간호사의 일터를 안전하고 건강하게 바꿀 수 있을까?, http://www.riss.kr/link?id=A108542511
현행 생명윤리법상 유전자편집기술의 법적 쟁점, http://www.riss.kr/link?id=A104920970
Freud와 Erikson이론에 따른 성격형성에 관한 고찰, http://www.riss.kr/link?id=A45010287
대학에서의 인공지능 교양교육 현황과 시사점, http://www.riss.kr/link?id=A107854570
이른바 ‘노란 봉투 법’과 기본권충돌 – 노동3권의 확대와 손해배상청구권의 축소를 담은 법률안에 대한 헌법적 평가 –, http://www.riss.kr/link?id=A108552863
나이팅게일과 업적, http://www.riss.kr/link?id=A18742338
그리스-로마 신화의 교훈, http://www.riss.kr/link?id=A107552565
전문간호사제도의 과제와 발전방향 - 법제화 근거마련 및 간호법 제정 필요, http://www.riss.kr/link?id=A101425604
청소년의 알레르기 진단 경험에 따른 영양,위생 교육 경험의 차이 검정 : 2019~2021년 청소년 온라인 행태조사를 이용하여, http://www.riss.kr/link?id=A108552590
무자녀가족의 출산행동에 관한 연구, http://www.riss.kr/link?id=A107315631
인공지능을 활용한 예술융합교육이 초등학생 창의성에 미치는 효과, http://www.riss.kr/link?id=A108012413
SVM을 이용한 배달 애플리케이션 음식점 리뷰의 자동 별점 분류, http://www.riss.kr/link?id=A105386047
통합집단상담에서 사회적 상호작용의 증가가 치료효과 및 치료요인에 미치는 영향, http://www.riss.kr/link?id=A82690214
망가진 머리: 인공지능과 윤리 And I believed I was loved, I believed I loved Who did this to us?, http://www.riss.kr/link?id=A106419000
부산시 반송동 정책이주지 주택 변화 연구, http://www.riss.kr/link?id=A108109431
인공지능을 활용한 AI 예술 창작도구 사례 연구, http://www.riss.kr/link?id=A108214032
친환경 위장제품(그린워싱)의 현황과 과제, http://www.riss.kr/link?id=A102397417
또래 상담 활동이 따돌림 경험 학생들의 심리적인 변화에 주는 영향, http://www.riss.kr/link?id=A75142192
화장품 안전성에 대한 인식 및 사용실태 연구, http://www.riss.kr/link?id=A108416865
간호대학생의 MBTI 성격유형별 의사소통능력, 자아존중감, 학업성취도의 관계, http://www.riss.kr/link?id=A107967262
‘노란봉투법’ 입법으로 노동3권을 되찾아야 한다, http://www.riss.kr/link?id=A108265555
희년의 법과 헨리 조지의 토지법은 상관이 있는가?, http://www.riss.kr/link?id=A106362280
간호단독법의 필요성, http://www.riss.kr/link?id=A18742335
세계 주요국의 유보통합 동향 및 시사점 분석, http://www.riss.kr/link?id=A107558011
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
여대생의 다이어트 행동과 심리적 변인들과의 관계, http://www.riss.kr/link?id=A82690210
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
유튜브 영상 카테고리별 시청자들의 공통 성향 및 시청 욕구, http://www.riss.kr/link?id=A108050393
리더십과 조직시민행동에 있어서 임파워먼트의 매개효과, http://www.riss.kr/link?id=A82421611
HPLC를 이용한 커피 내 카페인 정량 분석, http://www.riss.kr/link?id=A106967303
바이오 기술을 통한 의약품 산업의 혁신, http://www.riss.kr/link?id=A106070464
인공지능(AI : Artificial Intelligence)시대, 보건의료 미래 전망, http://www.riss.kr/link?id=A103148508
바이럴마케팅의 방향에 관한 연구와 진행 사례, http://www.riss.kr/link?id=A101669745
미세플라스틱의 건강 피해 저감 연구, http://www.riss.kr/link?id=A106871388
캐나다에 있어 안락사 논의의 현재와 미래, http://www.riss.kr/link?id=A106300784
캠퍼스의 흡연구역 설정에 관한 연구, http://www.riss.kr/link?id=A30019659
4차 산업혁명의 담론과 인공지능 기술에 대한 철학적 분석과 비판, http://www.riss.kr/link?id=A107473205
비대면 온라인 수업 만족도 및 인식 변화 연구 - C교육대학교 사례를 중심으로 -, http://www.riss.kr/link?id=A107284165
종자산업과 유전자가위기술의 안전성에 관한 제언, http://www.riss.kr/link?id=A106494311
장기이식과 의료윤리, http://www.riss.kr/link?id=A18743160
사형제도에 대한 교회사적 고찰, http://www.riss.kr/link?id=A60267032
스마트시티와 도시전환_공공 공간으로서의 스마트시티, http://www.riss.kr/link?id=A108079381
흡연의 폐해, http://www.riss.kr/link?id=A101460381
사회복지공동모금회 20년, 사회적 영향력 및 성과분석, http://www.riss.kr/link?id=A105978137
간호사는 왜 병원을 떠나는가?, http://www.riss.kr/link?id=A105344776
인공지능교육에 대한 초등교사의 인식 조사, http://www.riss.kr/link?id=A107366672
교양교육을 위한 활동중심 인공지능 윤리 교육 사례 연구, http://www.riss.kr/link?id=A108164172
가짜뉴스 영향력 인식의 효과에 관한 연구: 매체별 가짜뉴스 제3자 인식이 가짜뉴스 규제 및 미디어 교육 필요성에 미치는 영향, http://www.riss.kr/link?id=A108415532
기후정의 실현을 위한 정책 개선방안 연구(Ⅲ), http://www.riss.kr/link?id=A108125872
장애인 시민권 열차는 멈춘 적이 없다 : 전장연 지하철 행동의 의미, http://www.riss.kr/link?id=A108525500
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
스펀지형 도시공원 설계원칙에 대한 연구 - 중국 싼야시 동안습지공원을 대상으로 -, http://www.riss.kr/link?id=A107140642
멋진 신세계의 기술정부의 권력의 작동, http://www.riss.kr/link?id=A106118552
국회기후변화포럼, 미세먼지 관리 종합대책 논의, http://www.riss.kr/link?id=A105314925
오가노이드의 연구와 이용을 위한 윤리적 과제: 오가노이드 연구의 대상, 기증 절차, 향후 이용을 중심으로, http://www.riss.kr/link?id=A108550829
